"ID","Name","Published Date","Video Views","Engagement Score","Video Percent Viewed" 
"5807800538001","TTT CREDIT RATING AGENCY VIDEO-1","2018-07-11T03:55:44.608Z","0","0","0"
"5807892849001","EY-FutureConsumer-promo-FINAL-2-BIC with subtitles","2018-07-11T09:57:12.844Z","0","0","0"
"5807892858001","FutureConsumer-Main-FINAL","2018-07-11T09:59:54.076Z","1","69.12","69.12"
"5808864845001","Animation - slide 4 - The digital tax administration landscape - now and in the future ","2018-07-13T09:23:10.747Z","0","0","0"
"5808912195001","Los Angeles hackweek - for external use","2018-07-13T11:25:18.798Z","0","0","0"
"5808930274001","Price Point Q3 2018","2018-07-13T12:19:29.518Z","3","14.97","44.9"
"5808934522001","EY Insurwave MNC Master","2018-07-13T12:33:01.297Z","4","25.81","103.23"
"5809010459001","Watch Annette Kimmitt, Global Growth Markets Leader, talk about the key highlights of the survey (2.20 min)","2018-07-13T16:03:41.632Z","0","0","0"
"5809010396001","Shanghai consumer insights video","2018-07-13T16:09:56.123Z","1","103.61","103.61"
"5809675316001","CCB18 animation - Japanese version","2018-07-16T06:35:18.180Z","0","0","0"
"5809835101001","Citizen Intelligent Platform – analytics","2018-07-16T14:25:54.943Z","1","0","0"
"5810237484001","Editor´s choice - How can boards make the intangible tangible?","2018-07-17T13:07:34.212Z","1","94.94","94.94"
"5810560307001","How can you move purpose from rhetoric into reality","2018-07-18T06:10:32.176Z","0","0","0"
"5810557397001","What if money and meaning go hand-in-hand","2018-07-18T06:15:23.625Z","0","0","0"
"5810559673001","How can purpose profit the world – and business","2018-07-18T06:32:37.521Z","2","54.7","109.4"
"5810570825001","How can business foster inclusive growth","2018-07-18T07:02:32.991Z","1","87.82","87.82"
"5810714422001","Americas Oil and Gas Quarterly Sector Update July 2018 (ARCHIVE)","2018-07-18T14:48:56.925Z","3","0.85","2.55"
"5811153738001","CCB18 animation (Japanese version) ","2018-07-19T12:06:47.391Z","0","0","0"
"5811162395001","Editor's choice – Risk. Innovation. Can your business strategy tell the difference?","2018-07-19T12:28:14.312Z","1","103.03","103.03"
"5811572155001","Video 2 - What you can do to build on FY18 - focus for FY19","2018-07-20T08:35:33.714Z","3","104.61","313.83"
"5811570185001","Video 4 - Energy Reimagined and the Countdown Clock","2018-07-20T08:35:33.725Z","5","97.06","485.29"
"5811572363001","Video 3 - How our sector is changing - a look at some of the emerging themes","2018-07-20T08:35:33.812Z","5","100.62","503.09"
"5811573360001","Video 7 - Our People - P&U sector FY18 review","2018-07-20T08:35:34.373Z","0","0","0"
"5811573062001","Video 5 - Our Brand - P&U sector FY18 review","2018-07-20T08:35:34.378Z","0","0","0"
"5811574341001","Video 6 - Our Solutions - P&U sector FY18 review","2018-07-20T08:35:34.444Z","2","90.35","180.7"
"5811577481001","Video 8 - Our Performance - P&U sector FY18 review","2018-07-20T08:35:34.476Z","0","0","0"
"5812470714001","Forensic Integrity Services-beginning a new chapter","2018-07-23T02:28:51.364Z","5","47.98","239.9"
"5812614272001","Client Portal","2018-07-23T09:38:43.678Z","0","0","0"
"5812614274001","Helix","2018-07-23T09:38:47.595Z","0","0","0"
"5812615751001","Innovating Audit","2018-07-23T09:38:50.463Z","0","0","0"
"5812614811001","Atlas","2018-07-23T09:42:31.485Z","0","0","0"
"5812683193001","Digital Deals","2018-07-23T12:50:42.947Z","4","24.37","97.48"
"5812679378001","IDMP Implementation Update and Client Implications","2018-07-23T12:50:42.968Z","0","0","0"
"5812683988001","Global operating model for Supply Chain","2018-07-23T12:50:42.970Z","1","0","0"
"5812680773001","Risk and drug pricing","2018-07-23T12:50:42.976Z","2","3.82","7.64"
"5812680774001","Customer journey mapping","2018-07-23T12:50:42.976Z","4","2.44","9.77"
"5812683989001","Accelaration digital in Life Sciences","2018-07-23T12:50:43.017Z","4","3.99","15.98"
"5812680063001","EY Life Sciences in Asia Pacific","2018-07-23T12:50:43.069Z","3","0.61","1.82"
"5812751778001","WWD Retail 2020 New York FCN presentation","2018-07-23T15:50:02.751Z","0","0","0"
"5812849620001","EY Brexit – Is No Deal scenario back on the table?","2018-07-23T20:26:58.760Z","5","5.63","28.13"
"5813112661001","Agents and Innovation","2018-07-24T11:33:42.769Z","1","0","0"
"5813117477001","Distribution Optimization what why how","2018-07-24T11:33:42.778Z","2","0","0"
"5813133073001","C-suite agenda and outlook","2018-07-24T12:08:25.238Z","5","38.81","194.04"
"5813122353001","Growth in Emerging Markets","2018-07-24T12:08:25.852Z","3","36.1","108.29"
